ext_sector,sector,breakdown
1A4c_Agriculture-forestry-fishing,1A4c_Agriculture-forestry-fishing,1
Industry,1A2a_Ind-Comb-Iron-steel,0
Industry,1A2b_Ind-Comb-Non-ferrous-metals,0
Industry,1A2c_Ind-Comb-Chemicals,0
Industry,1A2d_Ind-Comb-Pulp-paper,0
Industry,1A2e_Ind-Comb-Food-tobacco,0
Industry,1A2f_Ind-Comb-Non-metalic-minerals,0
Industry,1A2g_Ind-Comb-Construction,0
Industry,1A2g_Ind-Comb-transpequip,0
Industry,1A2g_Ind-Comb-machinery,0
Industry,1A2g_Ind-Comb-mining-quarying,0
Industry,1A2g_Ind-Comb-wood-products,0
Industry,1A2g_Ind-Comb-textile-leather,0
Industry,1A2g_Ind-Comb-other,1
Power,1A1a_Electricity-public,0
Power,1A1a_Electricity-autoproducer,0
Power,1A1a_Heat-production,1
RCO,1A4a_Commercial-institutional,0
RCO,1A4b_Residential,1
RCO,1A5_Other-unspecified,0
Shipping,1A3di_International-shipping,1
Transportation,1A3ai_International-aviation,0
Transportation,1A3aii_Domestic-aviation,0
Transportation,1A3b_Road,0
Transportation,1A3c_Rail,1
Transportation,1A3dii_Domestic-navigation,0
Transportation,1A3eii_Other-transp,0
Other_feedstocks,1A1bc_Other-feedstocks,1
Other_transformation,1A1bc_Other-transformation,1
